year,month,date,temp_mean,temp_min,temp_max,temp_avg_daily_min,temp_avg_daily_max,demand_mean,demand_max,demand_avg_daily_max,total_consumption,pv_capacity,population,gsp
2018,12,2018-12-01,20.96297043010753,3.4,35.4,15.961290322580645,26.4,8028.406075268817,11333.28,9663.674516129031,5973134.12,1854683.749,8003564,55235.75
2019,1,2019-01-01,22.287844190732034,3.8,38.8,18.08709677419355,27.519354838709678,8824.525231699126,13700.9,10830.285161290323,6569859.035,1883996.421,8013373,55235.75
2019,2,2019-02-01,19.92061011904762,3.7,30.7,15.310714285714285,24.849999999999998,7927.353556547619,11898.99,9289.402857142857,5327181.59,1924458.647,8023182,55235.75
2019,3,2019-03-01,19.821102150537634,3.7,31.2,15.058064516129033,25.029032258064515,7762.93563172043,11185.5,9042.35741935484,5775624.11,1966733.1530000002,8032991,55235.75
2019,4,2019-04-01,18.446875,6.4,32.7,12.836666666666668,24.466666666666665,7602.526145833333,12226.27,9134.740333333333,5473818.825,2004678.7920000001,8037576,55235.75
2019,5,2019-05-01,15.760887096774194,4.4,37.9,10.280645161290321,22.361290322580647,8037.74755376344,11649.05,9675.157419354839,5980084.18,2052736.854,8042162,55235.75
2019,6,2019-06-01,14.53125,2.0,35.1,9.41,20.493333333333332,8379.377750000001,11787.09,10156.684000000001,6033151.98,2097377.88,8046748,56682.416666666664
2019,7,2019-07-01,14.104502688172044,1.6,29.8,8.074193548387097,20.551612903225806,8230.229112903226,11382.36,9978.490322580645,6123290.46,2149288.581,8054948,56682.416666666664
2019,8,2019-08-01,14.774395161290322,1.4,33.0,8.883870967741935,20.990322580645163,8197.747802419355,11403.56,10022.16064516129,6099124.365,2197163.7389999996,8063149,56682.416666666664
2019,9,2019-09-01,16.376805555555556,5.0,32.4,11.346666666666666,21.636666666666667,7561.560923611111,10887.57,9121.737,5444323.865,2246053.0879999995,8071350,56682.416666666664
2019,10,2019-10-01,17.763819771351713,4.6,36.1,11.735483870967743,23.87741935483871,7458.277128446536,11001.19,8818.866451612903,5545229.045,2305266.4559999993,8077020,56682.416666666664
