,Year,Month,temp_mean,temp_min,temp_max,demand_mean,demand_sum,Cumulative,Population,GSP
77,2016,6,14.438888888888888,0.8,34.3,8432.898833333333,12143374.32,1074209.483,7732858,52663.416666666664
78,2016,7,15.195107033639145,2.9,30.4,8296.739426605505,10852135.17,1086986.564,7744543,52663.416666666664
79,2016,8,14.838690074274139,3.5,29.2,8227.57777852802,12185042.69,1100907.539,7756229,52663.416666666664
80,2016,9,16.77402777777778,4.4,32.0,7739.624208333333,11145058.86,1115301.925,7767915,52663.416666666664
81,2016,10,18.11137440758294,6.7,32.2,7433.529654705485,10979323.3,1129418.816,7777151,52663.416666666664
82,2016,11,19.762994350282487,6.4,34.6,7805.897168079096,11053150.39,1146089.1460000002,7786388,52663.416666666664
83,2016,12,21.46081989247312,4.6,38.2,8064.449549731183,11999900.93,1167231.8660000002,7795625,52663.416666666664
84,2017,1,21.784687709872397,4.1,39.7,8562.532464741436,12749610.84,1178333.938,7808237,52663.416666666664
85,2017,2,19.857440476190476,2.6,32.9,7977.962313988095,10722381.35,1194618.972,7820850,52663.416666666664
86,2017,3,20.428897849462366,2.3,31.6,8047.222190860214,11974266.62,1213484.6970000002,7833463,52663.416666666664
87,2017,4,17.24357192494788,6.4,32.1,7507.246080611535,10802927.11,1228796.6220000002,7840747,52663.416666666664
88,2017,5,15.810954301075268,2.5,40.2,7992.026780913979,11892135.85,1249883.3590000002,7848031,52663.416666666664
89,2017,6,14.189097222222221,3.2,30.9,8547.37532638889,12308220.47,1271154.0040000002,7855316,54017.166666666664
90,2017,7,13.655712365591398,1.7,31.3,8385.882305107527,12478192.87,1294381.0310000002,7865128,54017.166666666664
91,2017,8,13.982728494623656,1.4,29.5,8154.872358870968,12134450.07,1317325.5760000001,7874940,54017.166666666664
92,2017,9,17.16722222222222,1.9,34.0,7691.648201388889,11075973.41,1339409.171,7884752,54017.166666666664
93,2017,10,18.367674731182795,1.3,42.9,7681.892876344085,11430656.6,1365443.412,7890150,54017.166666666664
94,2017,11,19.888125000000002,4.3,40.7,7914.335625000001,11396643.3,1396337.123,7895548,54017.166666666664
95,2017,12,21.858870967741936,5.8,39.8,8157.1287096774195,12137807.52,1429817.1719999998,7900946,54017.166666666664
96,2018,1,21.14768300873069,3.4,35.5,8156.493008730692,12145018.09,1451018.1819999998,7912193,54017.166666666664
97,2018,2,20.84754464285714,4.9,38.5,8184.69146577381,11000225.33,1478668.748,7923440,54017.166666666664
98,2018,3,20.54187457855698,4.8,38.8,7879.234497639919,11684904.76,1510372.1909999999,7934688,54017.166666666664
99,2018,4,18.523517096999303,5.1,31.9,7565.8864759246335,10841915.32,1541018.4319999998,7941284,54017.166666666664
100,2018,5,14.993147896879242,2.4,28.0,8044.699118046133,11857886.5,1578239.2979999997,7947880,54017.166666666664
101,2018,6,14.038680555555556,2.8,32.1,8608.907305555555,12396826.52,1609713.4989999998,7954476,55235.75
102,2018,7,13.774596774193547,-1.3,43.9,8415.215840053763,12521841.17,1646945.238,7964492,55235.75
103,2018,8,13.966666666666667,1.7,35.2,8313.98811155914,12371214.31,1686544.859,7974508,55235.75
104,2018,9,15.93951388888889,3.7,35.2,7719.611902777779,11116241.14,1721726.034,7984525,55235.75
105,2018,10,18.066666666666666,4.2,29.8,7566.32315860215,11258688.86,1759933.787,7990871,55235.75
